Ранг ГЛ;Ранг РУ;Уровень;По-английски;По-французски;Инфинитив;Подробности;Разговорный;Неправильный;Группа ;Суффикс спряжения;Совершенный вид;Пара аспектов;Возвратный;Действительный;Я;Ты;Он/Она/Оно;Мы;Вы;Они;Повелительное накл. 1;Повелительное накл. 2;Деепричастие Наст. время;Деепричастие Прош. время;Действит. причастие Наст. время;Действит. причастие Прош. время;Страдат. причастие Наст. время;Страдат. причастие Прош. время;Скрытый1-unwantedToExport;Скрытый2-genericFirstTrans
802;4609;B2;"hold (to); keep (to)";se tenir à;придерживаться;;;;;;несовер.;придерживаться/придержаться;возврат.;;;;придерживается;;;придерживаются;;;;;придерживающийся;придерживавшийся;придерживающийся;придерживавшийся;;
10000;10000;B2;;;придержаться;;;;;;perfective aspect unset;придержаться/придерживаться;возврат.;;;;;;;;;;;;;;;;;
803;4617;B2;"confess (to); own (to)";"avouer; confesser";признаваться;;;;;;несовер.;признаваться/признаться;возврат.;;;;признаётся;;;признаются;признавайся;признавайтесь;признаваясь;признававшись;признающийся;признававшийся;признающийся;признававшийся;;
10000;10000;B2;"confess (to); own (to)";"avouer; confesser";признаться;;;;;;совер.;признаваться/признаться;возврат.;;признаюсь;признаешься;признается;признаетесь;признаемся;признаются;признайся;признайтесь;;признавшись;;признавшийся;;;;
804;4622;B2;cut off, snip off;sectionner qqch;отрезать;;;;;;несовер.;отре́зать/отреза́ть;;;отрезаю;отрезаешь;отрезает;отрезаете;отрезаем;отрезают;отрежь;отрежьте;отрезая;отрезав;отрезающий;отрезавший;отрезаемый;;;
805;4624;B2;"be liable (to); be subject (to)";faire l’objet de;подлежать;;;;;;несовер.;;;действит.;подлежу;подлежишь;подлежит;подлежите;подлежим;подлежат;подлежи;подлежите;подлежа;подлежав;подлежащий;подлежавший;подлежащий;подлежавший;;
806;4633;B2;"count; compute";"compter; calculer";счесть;;;неправ.;;;совер.;считать/счесть;;действит.;сочту;сочтёшь;сочтёт;сочтёте;сочтём;сочтут;сочти;сочтите;;;;;;;;
807;4645;B2;"influence; have an influence (on)";"influencer; influer sur";повлиять;;;;;;совер.;влиять/повлиять;;действит.;повлияю;повлияешь;повлияет;повлияете;повлияем;повлияют;повлияй;повлияйте;;повлияв;;повлиявший;;;;
808;4648;B2;"enjoy; be delighted";"savourer; savourer";наслаждаться;;;;;;несовер.;наслаждаться/насладиться;возврат.;;наслаждаюсь;наслаждаешься;наслаждается;наслаждаетесь;наслаждаемся;наслаждаются;наслаждайся;наслаждайтесь;наслаждаясь;наслаждавшись;наслаждающийся;наслаждавшийся;наслаждающийся;наслаждавшийся;;
10000;10000;B2;"enjoy; be delighted";"savourer; savourer";насладиться;;;;;;совер.;наслаждаться/насладиться;возврат.;;наслажусь;насладишься;насладится;насладитесь;насладимся;насладятся;насладись;насладитесь;;насладившись, насладясь;;насладившийся;;;;
809;4653;B2;"shape; develop into";se former;формироваться;;;;;;несовер.;формироваться/сформироваться;возврат.;;формируюсь;формируешься;формируется;формируетесь;формируемся;формируются;формируйся;формируйтесь;формируясь;формировавшись;формирующийся;формировавшийся;формирующийся;формировавшийся;;
